Name of the bridge,Earthquake,x1 = Material Type,x2 = Age (yr),x3 = Bridge Type,x4 = Earthquake Magnitude,x5 = Distance to epicenter (miles),y1 = Damaged or not?,y2 = Damage Level,,,,,,
"Rokko Island Bridge, 1993",Western Honshu,I,7,IV,4.5,35.5,0,I,,,,,,
"Rokko Island Bridge, 1993",Western Honshu,I,14,IV,4,40.2,0,I,,,,,,
"Rokko Island Bridge, 1993",Coast of Western Honshu,I,10,IV,4.3,29.4,0,I,,,,,,
"Mukogawa Bridge, 1963","1995, Kobe",I,32,I,6.9,20.5,1,II,,,,,,
"Mukogawa Bridge, 1963",Coast of Western Honshu,I,22,I,4.2,11.1,0,I,,,,,,
"Mukogawa Bridge, 1963",Coast of Western Honshu,I,22,I,3.7,10.1,0,I,,,,,,
"Mukogawa Bridge, 1963",Coast of Western Honshu,I,24,I,4.7,32.5,0,I,,,,,,
"Mukogawa Bridge, 1963",Coast of Western Honshu,I,26,I,3.4,38.9,0,I,,,,,,
"Mukogawa Bridge, 1963",Coast of Western Honshu,I,26,I,4,19.1,0,I,,,,,,
"Mukogawa Bridge, 1963",Coast of Western Honshu,I,31,I,3.6,14.4,0,I,,,,,,
"Mukogawa Bridge, 1963",Coast of Western Honshu,I,15,I,4.8,17.1,0,I,,,,,,
"Mukogawa Bridge, 1963",Coast of Western Honshu,I,21,I,4.8,18.6,0,I,,,,,,
"Mukogawa Bridge, 1963",Western Honshu,I,24,I,4.9,23.8,0,I,,,,,,
"Mukogawa Bridge, 1963",Western Honshu,I,31,I,4.2,29.4,0,I,,,,,,
"Mukogawa Bridge, 1963",Western Honshu,I,21,I,4.1,31.2,0,I,,,,,,
"Mukogawa Bridge, 1963",Western Honshu,I,21,I,4.6,40.2,0,I,,,,,,
"Mukogawa Bridge, 1963",Western Honshu,I,22,I,4.8,40.3,0,I,,,,,,
"Mukogawa Bridge, 1963",Western Honshu,I,26,I,3.6,32.6,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962","1995, Kobe",I,33,I,6.9,7.8,1,II,,,,,,
"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,I,51,I,4.4,5.6,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,I,46,I,4.2,4.9,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,I,35,I,4.6,10.5,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962",6km WNW of Sumoto,I,51,I,5.8,25.9,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962",6km S of Sumoto,I,51,I,4.1,28.1,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962",2km E of Sumoto,I,52,I,4.6,23.4,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962",1km NW of Hirakata,I,56,I,5.5,31.3,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,I,46,I,4.2,20.7,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,I,27,I,4,16.2,0,I,,,,,,
"Takatori, Hanshin Route 3, 1962",Coast of Western Honshu,I,16,I,4.2,26.6,0,I,,,,,,
"Yuriage Bridge, 1962","2011, Tohoku",II,49,I,9.1,77.8,1,II,,,,,,
"Yuriage Bridge, 1962","1978, Miyagi",II,16,I,7.7,58.7,1,II,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,43,I,6.5,64.2,0,I,,,,,,
"Yuriage Bridge, 1962",Eastern Honshu,II,41,I,6.1,16.2,0,I,,,,,,
"Yuriage Bridge, 1962",Eastern Honshu,II,36,I,5.1,26.4,0,I,,,,,,
"Yuriage Bridge, 1962",Eastern Honshu,II,18,I,5,25.5,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,22,I,3.9,16.7,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,15,I,5.5,38.1,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,13,I,5.1,21.9,0,I,,,,,,
"Yuriage Bridge, 1962",50km NE of Namie,II,51,I,6,41.9,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,24,I,6,71.2,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,35,I,5.5,54.3,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,19,I,6.4,93.7,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,14,I,6,70.6,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,1,I,6.5,60.2,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,25,I,4.8,19.4,0,I,,,,,,
"Yuriage Bridge, 1962",East Coast of Honshu,II,16,I,4.8,13.2,0,I,,,,,,
"Yuriage Bridge, 1962",Eastern Honshu,II,12,I,4.3,4.9,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965","1978, Miyagi",I,13,I,7.7,61.2,1,II,,,,,,
"Sendai-Ohashi Bridge, 1965",Eastern Honshu,I,42,I,4.1,5.6,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",Eastern Honshu,I,9,I,4.3,6.6,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",Eastern Honshu,I,38,I,6.1,14.1,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",Eastern Honshu,I,38,I,5.5,15.3,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",Eastern Honshu,I,24,I,4.5,5.4,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",Eastern Honshu,I,25,I,4,6.8,0,I,,,,,,
"Sendai-Ohashi Bridge, 1965",Eastern Honshu,I,15,I,5,22.1,0,I,,,,,,
